accumulation.total_token_count: shape=(), dtype=int64 | dimensions: scalar
parameter.blocks.1.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.1.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.1.mlp_down.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.1.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.1.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.final_norm.weight: shape=(64,), dtype=float32 | dimensions: model channel
gradient.final_norm.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.step.final_norm.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.final_norm.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.exp_avg_sq.final_norm.weight: shape=(64,), dtype=float32 | dimensions: model channel
parameter.final_norm.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.final_norm.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.final_norm.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.final_norm.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.final_norm.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.lm_head.weight: shape=(256, 64), dtype=float32 | dimensions: output byte vocabulary, input model channel
gradient.lm_head.weight: shape=(256, 64), dtype=float32 | dimensions: output byte vocabulary, input model channel
optimizer.step.lm_head.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.lm_head.weight: shape=(256, 64), dtype=float32 | dimensions: output byte vocabulary, input model channel
optimizer.exp_avg_sq.lm_head.weight: shape=(256, 64), dtype=float32 | dimensions: output byte vocabulary, input model channel
