condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,45,output_norm,5,9.665390932546334e-05,7.480680433608196e-06,0.1298055711808215,0.013554801962475447
no_warmup,46,hidden,5,0.0010926862815859768,1.5776714083861292e-05,1.1720685504841577,0.026209719661476515
no_warmup,46,hidden_norm,5,9.844339526858706e-05,5.483091181594887e-06,0.10540903039568676,0.007908108381068108
no_warmup,46,input,5,0.000398306184028492,6.620057138015778e-06,0.6435283759239686,0.027472381793046834
no_warmup,46,output,5,0.0012010523065189142,2.774464821847624e-05,1.5564056446379457,0.02292863417145518
no_warmup,46,output_norm,5,9.694590822250286e-05,5.933505717171502e-06,0.13139273688130634,0.013308665201475146
no_warmup,47,hidden,5,0.0010893201872044646,1.601568876704605e-05,1.1824443421995656,0.05165391872563812
no_warmup,47,hidden_norm,5,9.819254857974997e-05,5.18991218015051e-06,0.10184070976372891,0.004774392732924188
no_warmup,47,input,5,0.0003974987825886905,6.7467615990506565e-06,0.6439149334622447,0.035352200982823705
no_warmup,47,output,5,0.0011965025614802762,2.718334517730422e-05,1.541090879009866,0.04523948382374884
no_warmup,47,output_norm,5,9.618914393936093e-05,5.015811293640025e-06,0.12660744413477648,0.004536885162993522
no_warmup,48,hidden,5,0.001082188919614494,1.236508041078872e-05,1.1393940749097689,0.044557375316750955
no_warmup,48,hidden_norm,5,9.83220025536516e-05,3.7963658381818035e-06,0.10500023502287818,0.015189689175914182
no_warmup,48,input,5,0.0003961472337046009,6.511032428739825e-06,0.6245668098569391,0.02347948147327302
no_warmup,48,output,5,0.001189786506591089,2.9718485256384607e-05,1.4993044279317214,0.029361323262910525
no_warmup,48,output_norm,5,9.679812691064184e-05,3.915699982281904e-06,0.12931400037984442,0.023204209256914597
no_warmup,49,hidden,5,0.0010786330468110193,8.460726307281528e-06,1.1448255984103828,0.02804879748980697
no_warmup,49,hidden_norm,5,9.85139786511526e-05,3.929764245991535e-06,0.10406484990750935,0.004610384909147521
no_warmup,49,input,5,0.0003953539877405052,6.891110549162936e-06,0.6299779174122287,0.022244858605804985
no_warmup,49,output,5,0.001184795509915205,2.8728125728072793e-05,1.5100604648948732,0.038609788154156714
no_warmup,49,output_norm,5,9.781388630726115e-05,4.4794599879451506e-06,0.12513596038514735,0.01363629048991614
